,precision,recall,f1-score,support
Angry,0.0,0.0,0.0,0.0
Disgust,0.0,0.0,0.0,0.0
Fear,0.0,0.0,0.0,0.0
Happy,0.0,0.0,0.0,0.0
Neutral,0.0,0.0,0.0,0.0
Sad,0.7875,0.3230769230769231,0.4581818181818182,390.0
Surprise,0.9642857142857143,0.7022421524663677,0.8126621691748832,1115.0
accuracy,0.6039867109634551,0.6039867109634551,0.6039867109634551,0.6039867109634551
macro avg,0.2502551020408163,0.14647415364904154,0.18154914105095735,1505.0
weighted avg,0.9184741338395824,0.6039867109634551,0.7208034735687069,1505.0
