,precision,recall,f1-score,support
Class_0,0.9864864864864865,0.9733333333333334,0.9798657718120806,150.0
Class_1,0.9801324503311258,0.9866666666666667,0.9833887043189369,150.0
Class_2,1.0,0.9866666666666667,0.9932885906040269,150.0
Class_3,0.9803921568627451,1.0,0.9900990099009901,150.0
Class_4,0.9802631578947368,0.9933333333333333,0.9867549668874173,150.0
Class_5,0.9798657718120806,0.9733333333333334,0.9765886287625418,150.0
Class_6,0.9932885906040269,0.9866666666666667,0.9899665551839465,150.0
accuracy,0.9857142857142858,0.9857142857142858,0.9857142857142858,0.9857142857142858
macro avg,0.9857755162844574,0.9857142857142858,0.9857074610671344,1050.0
weighted avg,0.9857755162844574,0.9857142857142858,0.9857074610671344,1050.0
